NOC,Ranking,Oro,Plata,Bronce,TotalMedallas
United States of America,1,39,41,33,113
Peoples Republic of China,2,38,32,18,88
Japan,3,27,14,17,58
Great Britain,4,22,21,22,65
ROC,5,20,28,23,71
Australia,6,17,7,22,46
Netherlands,7,10,12,14,36
France,8,10,12,11,33
Germany,9,10,11,16,37
Italy,10,10,10,20,40
Canada,11,7,6,11,24
Brazil,12,7,6,8,21
New Zealand,13,7,6,7,20
Cuba,14,7,3,5,15
Hungary,15,6,7,7,20
Republic of Korea,16,6,4,10,20
Poland,17,4,5,5,14
Czech Republic,18,4,4,3,11
Kenya,19,4,4,2,10
Norway,20,4,2,2,8
Jamaica,21,4,1,4,9
Spain,22,3,8,6,17
Sweden,23,3,6,0,9
Switzerland,24,3,4,6,13
Denmark,25,3,4,4,11
Croatia,26,3,3,2,8
Islamic Republic of Iran,27,3,2,2,7
Serbia,28,3,1,5,9
Belgium,29,3,1,3,7
Bulgaria,30,3,1,2,6
Slovenia,31,3,1,1,5
Uzbekistan,32,3,0,2,5
Georgia,33,2,5,1,8
Chinese Taipei,34,2,4,6,12
Turkey,35,2,2,9,13
Greece,36,2,1,1,4
Uganda,37,2,1,1,4
Ecuador,38,2,1,0,3
Ireland,39,2,0,2,4
Israel,40,2,0,2,4
Qatar,41,2,0,1,3
Bahamas,42,2,0,0,2
Kosovo,43,2,0,0,2
Ukraine,44,1,6,12,19
Belarus,45,1,3,3,7
Romania,46,1,3,0,4
Venezuela,47,1,3,0,4
India,48,1,2,4,7
Hong Kong China,49,1,2,3,6
Philippines,50,1,2,1,4
Slovakia,51,1,2,1,4
South Africa,52,1,2,0,3
Austria,53,1,1,5,7
Egypt,54,1,1,4,6
Indonesia,55,1,1,3,5
Ethiopia,56,1,1,2,4
Portugal,57,1,1,2,4
Tunisia,58,1,1,0,2
Estonia,59,1,0,1,2
Fiji,60,1,0,1,2
Latvia,61,1,0,1,2
Thailand,62,1,0,1,2
Bermuda,63,1,0,0,1
Morocco,64,1,0,0,1
Puerto Rico,65,1,0,0,1
Colombia,66,0,4,1,5
Azerbaijan,67,0,3,4,7
Dominican Republic,68,0,3,2,5
Armenia,69,0,2,2,4
Kyrgyzstan,70,0,2,1,3
Mongolia,71,0,1,3,4
Argentina,72,0,1,2,3
San Marino,73,0,1,2,3
Jordan,74,0,1,1,2
Malaysia,75,0,1,1,2
Nigeria,76,0,1,1,2
Bahrain,77,0,1,0,1
Saudi Arabia,78,0,1,0,1
Lithuania,79,0,1,0,1
North Macedonia,80,0,1,0,1
Namibia,81,0,1,0,1
Turkmenistan,82,0,1,0,1
Kazakhstan,83,0,0,8,8
Mexico,84,0,0,4,4
Finland,85,0,0,2,2
Botswana,86,0,0,1,1
Burkina Faso,87,0,0,1,1
Ivory Coast,88,0,0,1,1
Ghana,89,0,0,1,1
Grenada,90,0,0,1,1
Kuwait,91,0,0,1,1
Republic of Moldova,92,0,0,1,1
Syrian Arab Republic,93,0,0,1,1
Afghanistan,94,0,0,0,0
Albania,95,0,0,0,0
Algeria,96,0,0,0,0
American Samoa,97,0,0,0,0
Andorra,98,0,0,0,0
Angola,99,0,0,0,0
Antigua and Barbuda,100,0,0,0,0
Aruba,101,0,0,0,0
Bangladesh,102,0,0,0,0
Barbados,103,0,0,0,0
Belize,104,0,0,0,0
Benin,105,0,0,0,0
Bhutan,106,0,0,0,0
Bolivia,107,0,0,0,0
Bosnia and Herzegovina,108,0,0,0,0
Brunei Darussalam,109,0,0,0,0
Burundi,110,0,0,0,0
Cambodia,111,0,0,0,0
Cameroon,112,0,0,0,0
Cape Verde,113,0,0,0,0
Cayman Islands,114,0,0,0,0
Central African Republic,115,0,0,0,0
Chad,116,0,0,0,0
Chile,117,0,0,0,0
Comoros,118,0,0,0,0
Congo,119,0,0,0,0
Cook Islands,120,0,0,0,0
Costa Rica,121,0,0,0,0
Cyprus,122,0,0,0,0
Democratic Republic of the Congo,123,0,0,0,0
